date,mau_us,mau_row
2016-04-01,47082871,232545218
2016-05-01,46737415,238897421
2016-06-01,42544481,227610508
2016-07-01,41304328,218485700
2016-08-01,45501840,224442247
2016-09-01,49709089,244959267
2016-10-01,49880305,252868739
2016-11-01,49519294,258387701
2016-12-01,47800882,254252975
2017-01-01,50027652,258514744
2017-02-01,50713437,261319441
2017-03-01,49362270,263996459
2017-04-01,48094691,256500534
2017-05-01,45766491,255331966
2017-06-01,42933986,246688251
2017-07-01,41668376,237952273
2017-08-01,43571609,235913569
2017-09-01,45282879,252500241
2017-10-01,45528832,255504789
2017-11-01,45305284,260338501
2017-12-01,43185294,249960585
2018-01-01,44715286,253298878
2018-02-01,44401372,249347000
2018-03-01,43115684,250474255
2018-04-01,42828549,247862314
2018-05-01,40580340,242681121
2018-06-01,37708366,236776335
2018-07-01,36042674,223804511
2018-08-01,38071199,220427002
2018-09-01,40310654,237637637
2018-10-01,40239123,238771490
2018-11-01,39102925,239379872
2018-12-01,37348448,229146031
2019-01-01,38759385,231371567
2019-02-01,39058259,230278757
2019-03-01,38158628,231967857
2019-04-01,37346772,222777853
2019-05-01,31709143,200055402
2019-06-01,33745273,216439968
2019-07-01,32802212,207102632
2019-08-01,35424189,206277510
2019-09-01,36690729,219986505
2019-10-01,36559064,219819716
