day,mau
2016-08-01,260337696
2016-09-01,271424092
2016-10-01,295172158
2016-11-01,302709275
2016-12-01,308482302
2017-01-01,301439907
2017-02-01,309186373
2017-03-01,312264953
2017-04-01,313391812
2017-05-01,303625739
2017-06-01,300842862
2017-07-01,289701783
2017-08-01,279795906
2017-09-01,279933868
2017-10-01,298088301
2017-11-01,300997365
2017-12-01,305991173
2018-01-01,290927234
2018-02-01,298673779
2018-03-01,293952112
2018-04-01,293462530
2018-05-01,289921810
2018-06-01,283137045
2018-07-01,274497559
2018-08-01,260013491
2018-09-01,258982437
2018-10-01,279027483
2018-11-01,278767648
2018-12-01,278715493
2019-01-01,264218438
